Age,Gender,Current Weight (lbs),BMR (Calories),Daily Calories Consumed,Daily Caloric Surplus/Deficit,Weight Change (lbs),Duration (weeks),Physical Activity Level,Sleep Quality,Stress Level,Final Weight (lbs),Daily_Weight_Change
29,M,116.0,1448.8,1273.6,-465.0,-6.51,7,Sedentary,Good,7,109.5,-0.1328621688632776
65,M,176.2,1541.5,2006.7,156.9,1.569,5,Sedentary,Poor,5,177.7,0.04482052202341089
37,M,199.0,1785.2,1711.0,-431.2,-10.348,12,Sedentary,Excellent,7,188.7,-0.12319508139490341
32,F,135.1,1354.5,2417.1,80.5,1.611,10,Very Active,Good,7,136.8,0.023008568410312624
37,M,159.2,1604.8,3273.1,785.7,6.285,4,Moderately Active,Good,9,165.5,0.22447379257334174
65,M,214.7,1716.4,3053.7,393.3,7.079,9,Moderately Active,Excellent,7,221.8,0.11236791425344823
26,F,164.6,1518.2,2337.2,515.4,9.277,9,Sedentary,Fair,7,173.9,0.14725360808307908
26,F,172.9,1555.8,1881.4,14.5,0.29,10,Sedentary,Excellent,5,173.2,0.004140353309108637
46,F,179.9,1487.3,2092.4,47.4,0.853,9,Lightly Active,Good,7,180.7,0.013545114555913836
57,F,101.7,1077.9,1200.0,-93.4,-1.495,8,Sedentary,Excellent,9,100.2,-0.026697322546430705
29,M,130.9,1516.4,2567.8,-47.9,-1.055,11,Very Active,Fair,1,129.9,-0.013699859995523834
18,F,176.4,1611.6,3205.7,425.7,6.811,8,Very Active,Excellent,7,183.2,0.1216297767036836
35,F,229.2,1766.2,3493.6,446.9,9.832,11,Very Active,Poor,12,239.1,0.12768187288310168
23,M,187.7,1803.9,2536.4,56.0,1.344,12,Lightly Active,Good,5,189.1,0.015999972554753446
18,M,172.8,1761.2,2532.0,110.4,1.546,7,Lightly Active,Excellent,6,174.3,0.03154284703385656
37,M,177.4,1687.4,2659.9,339.7,6.115,9,Lightly Active,Good,10,183.6,0.097060903750551
54,F,158.0,1348.1,2938.2,848.7,18.672,11,Moderately Active,Good,2,176.6,0.24249387252695032
26,F,212.4,1734.8,1638.3,-747.0,-17.928,12,Lightly Active,Fair,10,194.4,-0.2134266826442754
35,M,168.7,1657.5,2528.9,-40.2,-0.563,7,Moderately Active,Good,8,168.1,-0.011497085126811725
